tackles,errorLeadToGoal,cleanSheet,interceptions,errorLeadToShot,penaltyConceded,ownGoals,clearances,dribbledPast,rating,player.id,team.id
15,0,1,5,0,1,0,12,7,6.75,989860,3208
30,0,1,23,0,0,0,46,11,6.75,537036,7628
0,1,6,0,0,0,0,18,3,6.75,581782,3215
3,0,1,0,0,0,0,3,5,6.75,840510,3201
19,0,2,6,0,0,0,12,14,6.75,1116624,3206
7,0,0,1,0,0,0,5,2,6.74,1182504,3205
9,0,0,4,0,0,0,8,3,6.74,82371,3215
9,0,0,1,0,0,0,0,8,6.74,1212545,3206
5,0,0,0,0,0,0,0,5,6.74,1117117,3217
22,1,4,22,2,1,0,48,8,6.74,915162,3209
22,0,2,6,0,0,0,20,10,6.74,989201,3208
0,1,6,1,0,0,0,9,1,6.74,789923,3216
18,1,2,2,0,0,0,29,11,6.74,39244,3208
3,0,0,0,0,0,0,2,1,6.74,46007,3211
71,0,0,19,0,1,0,32,33,6.74,1116590,3209
7,0,0,3,0,0,0,0,7,6.74,249397,65668
6,0,2,14,1,0,0,72,10,6.74,329577,3218
25,0,4,8,0,1,0,21,13,6.74,926415,42338
10,0,1,5,0,0,0,27,5,6.74,1095779,3205
29,0,1,6,0,0,0,25,18,6.74,924943,3219
22,0,4,10,0,0,0,30,19,6.74,1387300,3215
28,0,8,29,1,0,0,124,16,6.73,1467314,3205
6,0,1,0,0,0,0,11,6,6.73,239254,3219
32,0,15,25,0,2,0,61,23,6.73,355846,3201
4,0,0,0,0,0,0,5,1,6.73,603758,3205
34,0,6,17,0,0,0,71,16,6.73,140103,6074
2,0,1,0,0,0,0,3,0,6.73,871807,65668
0,3,7,1,1,0,0,4,0,6.73,340845,3218
11,0,0,6,0,0,0,5,12,6.73,790065,36839
32,0,0,11,1,0,0,8,15,6.73,1103932,3205
11,0,7,14,0,1,0,53,2,6.73,931705,3212
62,0,5,34,0,0,0,49,26,6.73,838847,3221
21,0,0,14,0,0,0,10,11,6.73,991270,3218
28,0,9,28,0,0,0,40,14,6.73,1118570,65668
40,0,6,19,0,0,0,25,24,6.73,122634,3209
15,0,0,5,0,0,0,1,15,6.73,875895,7629
53,0,4,28,0,0,0,26,33,6.73,895321,4937
8,0,0,3,0,0,0,0,1,6.73,1117038,3212
5,0,0,2,0,0,0,3,0,6.72,895720,3216
30,0,2,17,0,0,0,21,17,6.72,1411695,3215
2,0,0,1,0,0,0,0,1,6.72,1191921,3215
26,0,1,12,0,0,0,13,9,6.72,37942,3204
10,0,0,1,0,0,0,17,7,6.72,838304,36837
7,0,0,2,0,0,0,2,3,6.72,1087092,3205
8,0,0,3,0,0,0,8,13,6.72,48472,3215
16,1,3,22,0,0,0,53,10,6.72,966531,7629
14,0,1,8,0,0,0,11,12,6.72,868363,36837
35,0,1,25,1,0,1,39,35,6.72,1065594,3221
3,0,1,1,0,1,0,3,6,6.71,122630,3202
34,0,0,11,0,1,0,8,22,6.71,1016652,3221
2,0,0,0,0,0,0,0,0,6.71,1111801,4937
47,1,7,27,0,0,0,46,22,6.71,1093190,4937
12,0,0,0,0,0,0,5,1,6.71,830755,7629
1,0,0,1,0,0,0,0,3,6.71,93199,65676
3,0,0,0,0,0,0,3,4,6.71,979827,3206
37,0,3,33,0,0,0,23,40,6.71,988619,3208
53,0,3,19,0,0,0,55,10,6.71,1020523,3221
24,0,0,9,0,0,0,2,11,6.71,1086339,65676
6,0,0,0,0,0,0,0,5,6.71,1179171,3216
17,0,1,23,1,0,1,46,6,6.71,789853,3209
10,0,0,2,0,0,0,6,10,6.71,340785,3201
26,0,1,18,0,0,0,13,20,6.71,1201388,3208
6,0,1,3,0,0,0,16,2,6.71,792585,3215
40,0,4,18,0,0,0,19,26,6.71,1067815,65668
15,0,1,8,0,0,0,4,10,6.7,859990,3218
26,0,4,16,0,0,0,39,18,6.7,1106584,3201
55,0,3,19,0,0,0,31,37,6.7,896753,65668
13,0,1,11,0,0,0,24,17,6.7,874452,36837
26,0,0,12,0,0,0,4,12,6.7,849040,7629
22,0,1,13,1,1,0,25,6,6.7,249667,65676
8,0,0,0,0,0,0,1,10,6.7,33959,3206
19,0,3,12,0,0,0,42,10,6.7,975816,42338
27,1,0,16,1,0,0,24,20,6.7,971172,7628
9,0,0,8,0,0,0,1,5,6.7,922466,7629
0,0,0,2,0,0,0,0,1,6.7,93186,3212
17,0,5,16,1,0,0,62,8,6.7,1084966,3207
1,0,0,0,0,0,0,0,0,6.7,1017422,3210
0,0,0,0,0,0,0,0,0,6.7,1022261,42338
0,0,0,1,0,0,0,0,0,6.7,796999,7628
1,0,0,0,0,0,0,1,0,6.7,789407,42338
1,0,1,0,0,0,0,2,1,6.7,1086288,3208
11,0,3,0,0,0,0,4,3,6.7,884971,36837
30,0,6,29,0,1,0,63,12,6.7,824157,4937
10,0,2,3,0,0,0,2,8,6.69,1153982,3212
23,1,4,22,1,1,0,49,5,6.69,874565,3209
14,0,2,17,0,1,0,19,5,6.69,351824,3201
21,0,6,15,1,0,0,39,17,6.69,26995,3201
23,0,0,31,0,1,0,19,16,6.69,1130268,6074
47,0,4,21,0,0,0,35,20,6.69,871519,3208
56,0,5,23,0,0,0,32,33,6.69,38106,3217
41,0,1,14,0,0,0,7,13,6.69,1086937,65668
6,0,0,5,0,0,0,9,13,6.69,539238,3219
5,0,0,1,0,0,0,1,5,6.68,924350,36833
5,0,1,3,0,0,0,12,4,6.68,1087028,3206
12,0,0,6,1,0,0,3,12,6.68,1177433,3208
0,0,0,0,0,0,0,0,1,6.68,1086978,6074
24,0,6,11,1,1,0,28,12,6.68,962030,3202
9,0,0,8,0,0,0,6,7,6.68,923803,3210
22,0,0,7,0,0,0,9,9,6.68,991476,6074
0,0,0,1,0,0,0,3,3,6.68,1003721,36839
