goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,rating,player.id,team.id
3,53.09,7,0,0,0,3.56,33,9.09,2,0,4,2,15,1,0,1,0.0,43,11,0,3,2,0.0,7.02,1087008,3212
2,58.82,7,0,0,1,1.81,26,7.69,3,0,5,1,9,0,0,0,0.0,90,10,0,2,2,0.0,7.02,875236,3201
0,65.63,4,0,0,0,1.62,18,0.0,2,0,1,2,3,0,0,0,0.0,21,11,0,0,0,0.0,7.02,284729,3206
1,66.67,0,0,0,0,1.0,6,16.67,0,0,2,1,2,0,0,0,0.0,2,4,0,1,1,0.0,7.01,250001,3212
6,75.0,10,1,2,0,6.36,47,12.77,2,1,7,7,18,2,1,4,100.0,30,19,2,4,1,50.0,7.01,1096378,42338
0,60.71,2,0,0,0,0.92,8,0.0,0,0,2,1,1,0,0,0,0.0,17,5,0,0,0,0.0,7.01,122710,3211
2,31.25,3,0,2,0,0.95,13,15.38,4,0,1,2,7,0,1,0,0.0,5,3,0,0,2,25.0,7.01,22981,3206
0,100.0,0,0,0,0,0.25,5,0.0,0,0,1,0,2,0,0,0,0.0,2,3,0,0,0,0.0,7.01,1017460,3216
0,0.0,3,0,0,0,0.52,10,0.0,0,0,3,0,2,0,0,0,0.0,0,5,0,0,0,0.0,7.01,33268,3215
3,59.5,12,1,2,0,2.41,53,5.66,1,0,4,3,17,0,0,3,0.0,72,24,0,1,0,0.0,7.0,877299,3217
0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.0,789406,3217
13,55.56,13,0,2,2,15.0,70,18.57,0,0,27,16,32,2,0,5,0.0,15,25,0,11,8,0.0,7.0,339115,3210
