name,slug,shortName,position,height,preferredFoot,userCount,player.id,shirtNumber,dateOfBirth,contractUntil,team.id,proposedMarketValue,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,player.image
Marco Di Cesare,marco-di-cesare,M. D. Cesare,D,186.0,Right,162,1017460,29.0,2002-01-30,2026-12-31,3216,2600000.0,AR,Argentina,2600000.0,EUR,https://api.sofascore.app/api/v1/player/1017460/image
Leonardo Sigali,leonardo-sigali,L. Sigali,D,179.0,Right,114,33268,30.0,1987-05-29,2024-12-31,3215,775000.0,AR,Argentina,775000.0,EUR,https://api.sofascore.app/api/v1/player/33268/image
Jaminton Campaz,jaminton-campaz,Jaminton Campaz,M,168.0,Left,879,877299,13.0,2000-05-24,2023-12-31,3217,4200000.0,CO,Colombia,4200000.0,EUR,https://api.sofascore.app/api/v1/player/877299/image
Jorge Broun,jorge-broun,J. Broun,G,190.0,Right,69,789406,1.0,1986-05-26,2023-12-31,3217,145000.0,AR,Argentina,145000.0,EUR,https://api.sofascore.app/api/v1/player/789406/image
Michael Santos,michael-santos,M. Santos,F,174.0,Right,399,339115,10.0,1993-03-13,,201624,2800000.0,UY,Uruguay,2800000.0,EUR,https://api.sofascore.app/api/v1/player/339115/image
Agustín Urzi,agustin-urzi,A. Urzi,M,168.0,Left,222,965775,11.0,2000-05-04,2025-12-31,201624,2800000.0,AR,Argentina,2800000.0,EUR,https://api.sofascore.app/api/v1/player/965775/image
Mateo Mendoza,mateo-mendoza,M. Mendoza,D,,,5,1467092,26.0,2004-11-21,,6074,,AR,Argentina,,EUR,https://api.sofascore.app/api/v1/player/1467092/image
Ignacio Chicco,ignacio-chicco,I. Chicco,G,185.0,Left,42,875398,17.0,1996-06-30,2024-06-30,3207,2300000.0,AR,Argentina,2300000.0,EUR,https://api.sofascore.app/api/v1/player/875398/image
Cristian Lema,cristian-lema,C. Lema,D,190.0,Right,143,106384,2.0,1990-09-12,2025-12-31,3218,1500000.0,AR,Argentina,1500000.0,EUR,https://api.sofascore.app/api/v1/player/106384/image
Santiago Mele,santiago-mele,S. Mele,G,182.0,Right,219,846421,77.0,1997-09-06,2024-06-30,6105,1600000.0,UY,Uruguay,1600000.0,EUR,https://api.sofascore.app/api/v1/player/846421/image
Jorge Rodríguez,jorge-rodriguez,J. Rodríguez,M,179.0,Right,109,583332,30.0,1995-09-15,2025-12-31,3206,3900000.0,AR,Argentina,3900000.0,EUR,https://api.sofascore.app/api/v1/player/583332/image
Marco Pellegrino,pellegrino-marco,M. Pellegrino,D,184.0,Left,732,1095023,31.0,2002-07-18,2028-06-30,2692,3400000.0,AR,Argentina,3400000.0,EUR,https://api.sofascore.app/api/v1/player/1095023/image
Claudio Corvalán,claudio-corvalan,C. Corvalán,D,176.0,Left,19,249383,3.0,1989-03-23,2024-12-31,3204,290000.0,AR,Argentina,290000.0,EUR,https://api.sofascore.app/api/v1/player/249383/image
Leonardo Morales,leonardo-morales,L. Morales,D,180.0,Right,72,895342,4.0,1991-04-11,2025-12-31,3205,1200000.0,AR,Argentina,1200000.0,EUR,https://api.sofascore.app/api/v1/player/895342/image
José Devecchi,jose-devecchi,J. Devecchi,G,191.0,Right,82,578460,1.0,1995-07-09,2023-12-31,42338,1100000.0,AR,Argentina,1100000.0,EUR,https://api.sofascore.app/api/v1/player/578460/image
Bautista Kociubinski,bautista-kociubinski,B. Kociubinski,M,180.0,Right,58,1086935,16.0,2001-04-26,2023-12-31,36833,515000.0,AR,Argentina,515000.0,EUR,https://api.sofascore.app/api/v1/player/1086935/image
Santiago Ascacíbar,santiago-ascacibar,S. Ascacíbar,M,168.0,Right,591,830667,5.0,1997-02-25,2026-12-31,3206,5000000.0,AR,Argentina,5000000.0,EUR,https://api.sofascore.app/api/v1/player/830667/image
Pablo Minissale,pablo-minissale,P. Minissale,D,182.0,Right,40,1017448,30.0,2001-01-14,2024-12-31,3216,130000.0,AR,Argentina,130000.0,EUR,https://api.sofascore.app/api/v1/player/1017448/image
Alejandro Medina,alejandro-medina,A. Medina,G,183.0,Right,25,941532,23.0,1987-02-14,2024-12-31,3221,190000.0,AR,Argentina,190000.0,EUR,https://api.sofascore.app/api/v1/player/941532/image
Oscar Piris,oscar-piris,O. Piris,D,181.0,Right,5,933167,5.0,1989-06-06,2023-12-31,3204,230000.0,AR,Argentina,230000.0,EUR,https://api.sofascore.app/api/v1/player/933167/image
Rodrigo Villagra,rodrigo-villagra,R. Villagra,M,178.0,Right,227,978563,18.0,2001-02-14,2026-12-31,3210,7200000.0,AR,Argentina,7200000.0,EUR,https://api.sofascore.app/api/v1/player/978563/image
Gaspar Servio,gaspar-servio,G. Servio,G,182.0,Right,144,581628,23.0,1992-03-09,,5999,700000.0,AR,Argentina,700000.0,EUR,https://api.sofascore.app/api/v1/player/581628/image
Facundo Mallo,facundo-mallo,F. Mallo,D,185.0,Right,73,877400,15.0,1995-01-16,2023-12-31,3217,810000.0,UY,Uruguay,810000.0,EUR,https://api.sofascore.app/api/v1/player/877400/image
Rafael Delgado,rafael-delgado,R. Delgado,D,178.0,Left,28,799653,40.0,1990-01-13,2023-12-31,3207,645000.0,AR,Argentina,645000.0,EUR,https://api.sofascore.app/api/v1/player/799653/image
Pablo Solari,pablo-solari,P. Solari,M,180.0,Right,1623,1018450,36.0,2001-03-22,2026-12-31,3211,8600000.0,AR,Argentina,8600000.0,EUR,https://api.sofascore.app/api/v1/player/1018450/image
Franco Moyano,franco-moyano,F. Moyano,M,171.0,Right,78,901471,17.0,1997-09-13,2025-12-31,3216,1800000.0,AR,Argentina,1800000.0,EUR,https://api.sofascore.app/api/v1/player/901471/image
Armando Méndez,armando-mendez,A. Méndez,D,175.0,Right,65,941403,14.0,1996-03-31,2024-12-31,3212,515000.0,UY,Uruguay,515000.0,EUR,https://api.sofascore.app/api/v1/player/941403/image
Santiago Hezze,santiago-hezze,S. Hezze,M,182.0,Right,781,989886,32.0,2001-10-22,2028-06-30,3245,8199999.0,AR,Argentina,8199999.0,EUR,https://api.sofascore.app/api/v1/player/989886/image
Marcelo Estigarribia,marcelo-estigarribia,M. Estigarribia,F,180.0,,54,943166,19.0,1995-04-10,2025-12-31,36833,655000.0,AR,Argentina,655000.0,EUR,https://api.sofascore.app/api/v1/player/943166/image
Brian Leizza,brian-leizza,B. Leizza,D,186.0,Right,20,1016644,38.0,2000-04-28,2024-12-31,65676,190000.0,AR,Argentina,190000.0,EUR,https://api.sofascore.app/api/v1/player/1016644/image
Facundo Mansilla,facundo-mansilla,F. Mansilla,D,,,40,1087335,19.0,1999-02-27,,3212,,AR,Argentina,,EUR,https://api.sofascore.app/api/v1/player/1087335/image
Gastón Benavídez,gaston-benavidez,G. Benavídez,D,175.0,Right,45,981452,29.0,1995-10-23,2027-12-31,3210,1200000.0,AR,Argentina,1200000.0,EUR,https://api.sofascore.app/api/v1/player/981452/image
